component,role
cold substrate / support skeleton,Non-passenger infrastructure that carries support topology/geometry before live service; not claimed passenger-safe by itself.
warm/ready rail plant,"Prepared standing support with shift capacity, angular jacket, and lapse cushion in place before packet service."
small passenger packet corridor,The live passenger worldtube kept much smaller than the quarantine/support shell.
locked-lead shaped catch,Support-side catch begins slightly early; packet rematch follows closely; minimum-jerk profile controls radial-null exposure.
packet rematch,Local normalization of the packet back toward ordinary rail/throat geometry; must not lag freely behind support catch.
support-contained carried shift,The shift/carrying field is constrained inside prepared infrastructure rather than acting as a free ship-scale warp shell.
radial-soft support edge,Broadened support edge reduces live radial pressure demand.
lapse cushion,Extra causal margin that permits radial softening without packet-norm failure.
outer angular/effective jacket,"Broad infrastructure support for angular channel; live packet angular burden is small, but global proxy is still crude."
modal catch-edge source absorber,Source-side transient guard layer at the packet edge during catch/rematch; reduces residual live Tkk underfit below 5%.
decompression/reset,Minimum-jerk post-service support relaxation; passenger exposure accounting ends before reset.
