channel,scope,points,abs_burden,signed_burden,neg_burden,pos_burden,peak_abs,peak_signed,min_signed,fraction_of_global_abs,fraction_of_global_neg
rho,global,29161,49.92799405001247,49.26493669282054,0.331528678595969,49.59646537141651,0.012442905166369433,0.011992306126764257,-0.012442905166369433,1.0,1.0
rho,packet_live,2552,13.51063364241626,13.51063364241626,0.0,13.51063364241626,0.00953223482022904,0.00953223482022904,0.006220129595652285,0.2706023724662915,0.0
rho,packet_core,1818,9.680340265341444,9.680340265341444,0.0,9.680340265341444,0.0095284166586798,0.0095284166586798,0.0065822256156705524,0.19388602425414336,0.0
rho,packet_edge,1277,6.696296475682215,6.696296475682215,0.0,6.696296475682215,0.00953223482022904,0.00953223482022904,0.006220129595652285,0.1341190769445812,0.0
rho,packet_edge_strip,734,3.830293377074814,3.830293377074814,0.0,3.830293377074814,0.00953223482022904,0.00953223482022904,0.006220129595652285,0.07671634821214808,0.0
rho,support_shell,10164,8.653739390578057,8.641186757982142,0.006276316297957597,8.647463074280097,0.008849725556677129,0.008849725556677129,-0.004757521395011094,0.17332439556673707,0.01893144304902348
j_l,global,29161,2.1818372665442665,0.021446698796671135,1.0801952838737978,1.1016419826704689,0.02048485387768379,0.02048485387768379,-0.020484828377545228,1.0,1.0
j_l,packet_live,2552,0.17126428368187951,0.1709554790649103,0.000154402308484608,0.17110988137339492,0.003778907191456265,0.003778907191456265,-9.617657335108193e-06,0.07849544340817813,0.00014293925440119515
j_l,packet_core,1818,0.12417427533878905,0.12417427533878905,0.0,0.12417427533878905,0.003172684169369105,0.003172684169369105,2.779296000999158e-06,0.056912711705334566,0.0
j_l,packet_edge,1277,0.08369022436796418,0.08338141975099497,0.000154402308484608,0.08353582205947957,0.003778907191456265,0.003778907191456265,-9.617657335108193e-06,0.03835768398094974,0.00014293925440119515
j_l,packet_edge_strip,734,0.04709000834309046,0.04678120372612125,0.000154402308484608,0.04693560603460586,0.003778907191456265,0.003778907191456265,-9.617657335108193e-06,0.021582731702843555,0.00014293925440119515
j_l,support_shell,10164,1.1592715081428349,9.400522885993565e-05,0.5795887514569874,0.5796827566858473,0.02048485387768379,0.02048485387768379,-0.020484828377545228,0.5313281269500741,0.5365592315664122
delta_rho,global,29161,4.634843417550669e-05,-4.4950182830160674e-05,4.5649308502833695e-05,6.991256726730079e-07,2.012739156306495e-07,1.357151397339551e-08,-2.012739156306495e-07,1.0,1.0
delta_rho,packet_live,2552,3.99195276812062e-05,-3.856266688836862e-05,3.924109728478741e-05,6.784303964187903e-07,2.012739156306495e-07,4.826527061699282e-09,-2.012739156306495e-07,0.8612918298392503,0.8596208479773907
delta_rho,packet_core,1818,2.7818614018502903e-05,-2.6655070683462086e-05,2.7236842350982493e-05,5.817716675204091e-07,2.0125961071922743e-07,4.3386320959515334e-09,-2.0125961071922743e-07,0.6002061237530207,0.5966539963971581
delta_rho,packet_edge,1277,2.048013018613162e-05,-1.988019578132307e-05,2.0180162983727344e-05,2.9996720240427445e-07,2.012739156306495e-07,4.826527061699282e-09,-2.012739156306495e-07,0.44187318407737186,0.442069412343336
delta_rho,packet_edge_strip,734,1.2100913662703294e-05,-1.1907596204906533e-05,1.2004254933804914e-05,9.665872889838131e-08,2.012739156306495e-07,4.826527061699282e-09,-2.012739156306495e-07,0.2610857060862295,0.2629668515802325
delta_rho,support_shell,10164,3.3275167524299117e-06,-3.2933595529902255e-06,3.3104381527100686e-06,1.7078599719843163e-08,2.011993686275304e-07,1.357151397339551e-08,-2.011993686275304e-07,0.07179350956775953,0.07251891126685023
delta_j_l,global,29161,0.02144669879667112,0.021446698796671118,1.5980552330515743e-18,0.02144669879667112,2.580641304630149e-05,2.580641304630149e-05,-6.938893903907228e-18,1.0,1.0
delta_j_l,packet_live,2552,0.020128066743525203,0.020128066743525203,0.0,0.020128066743525203,2.580641304630149e-05,2.580641304630149e-05,8.110401579250297e-07,0.9385158496583823,0.0
delta_j_l,packet_core,1818,0.015304868159192605,0.015304868159192605,0.0,0.015304868159192605,2.580641304630149e-05,2.580641304630149e-05,1.1647012847413284e-06,0.7136234953590233,0.0
delta_j_l,packet_edge,1277,0.009293349304888905,0.009293349304888905,0.0,0.009293349304888905,2.5126527961944633e-05,2.5126527961944633e-05,8.110401579250297e-07,0.4333230672466657,0.0
delta_j_l,packet_edge_strip,734,0.004823198584332601,0.004823198584332601,0.0,0.004823198584332601,2.35735282855056e-05,2.35735282855056e-05,8.110401579250297e-07,0.22489235429935914,0.0
delta_j_l,support_shell,10164,9.400522885973156e-05,9.400522885973072e-05,4.2534372889867325e-19,9.400522885973114e-05,8.877660853535106e-06,8.877660853535106e-06,-3.469446951953614e-18,0.004383202736745793,0.2661633466112783
